,songName,songID
0,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh
1,Bu Akşam,6jo5kjABNphNwXQ8ZyOLtZ
2,Crazy,7ACxUo21jtTHzy7ZEV56vU
3,Çayır Çimen Geze Geze,4nrsFCRgmOcEGZJEff7UXy
4,Layla,2kkvB3RNRzwjFdGhaUA0tz
5,Hangar 18 - 2004 Remix,6b6uLZsoGhObYexIxnRbIb
6,Holy Wars...The Punishment Due - 2004 Remix,5LyRtsQLhcXmy50VXhQXXS
7,Tornado Of Souls - 2004 Remix,4E5xVW505akJX0wcKj8Mpd
8,Forty Six & 2,6AioOohg4bQZFA4jIYQQ2r
9,No Leaf Clover - Live,0n4AllHzf3ma4ki20Y9h00
10,Don't Cry (Original),2N2yrmodOnVF10mKvItC9P
11,The Memory Remains,0vhOJ8a3M2LWnBNrDXJKDl
12,Wherever I May Roam,745sNpjWbAxo2MA2zSYbyD
13,Come As You Are - Remastered,1MsfdAHNRX2T1BWmkpj87C
14,Seytan Bunun Neresinde,689ZefG3EFoRJrjWihW9qC
15,Gangsta's Paradise,1DIXPcTDzTj8ZMHt3PDt8p
16,Sad But True,5UaDi8KzCGJqFfVAOBfXhi
17,Beggin',3Wrjm47oTz2sjIgck11l5e
18,Stan,3UmaczJpikHgJFyBTAJVoz
19,Forsa,2KhEVY9OrCbk1SqmYpVWhH
20,Wrong Side of Heaven,0GQmBK4A5hFQdjhYCFCbtK
21,Subliminal,2zeAo1ddhjm1TioD77dDSV
22,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2Foc5Q5nqNiosCNqttzHof
23,Amerika,33ayEZDfgARpadIdqo87JQ
24,Back In Black,08mG3Y1vljYA6bvDt4Wqkj
25,Seek & Destroy - Remastered,5DrNFzZZZVfXaEZCaceKnp
26,Chop Suey!,2DlHlPMa4M17kufBvI2lEN
27,Take Me Out,20I8RduZC2PWMWTDCZuuAN
28,Stockholm Syndrome,6AzCBeiDuUXGXjznBufswB
29,Dani California,10Nmj3JCNoMeBQ87uw5j8k
30,Aman Aman,0NeO8RLuVdFRigkKhjBgbT
31,Alışırım Gözlerimi Kapamaya,3AD2aBZKRlzUkVYzKiU9WS
32,Dem,0FkD2FHEZrZIofVkY6XPFK
33,Hysteria,2PFIZFcGry0po3ZfRZkzKc
34,Layla - Acoustic Live,0zxj7dVhYZq5ACyaDx5XIo
35,Whiskey In The Jar,3ZpWy5rBZv2aLQAldnmTsP
36,Habil ve Kâbil,1b3CiKSaW3RI7U7WMTmhQx
37,My Way,2YkIDPL5lGhRhomCq4S2RO
38,You Could Be Mine,0dlTGl67UFWcKupzkxZYOn
39,The God That Failed,1O0GYt4Kak2eU6GXJuSYot
40,Duality,61mWefnWQOLf90gepjOCb3
41,In a Darkened Room,4WwWjFCyvUY2fcx8OULByB
42,Hypnotize,6Tsu3OsuMz4KEGKbOYd6A0
43,Hail to the King,5anCkDvJ17aznvK5TED5uo
44,Flight of the Bumblebee,0nF5aQoLs2YtbWwClXvumL
45,Unbreakable,7hd6sxfe8CHROWx1Wr0yAN
46,Youth Gone Wild,1jF5Id0OPFU1Mae8BEUF5u
